ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
1951,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-mpu_prototypes.h-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-dec_neon.c.html,0.1450225317492831,10,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-mpu_prototypes.h,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-dec_neon.c,48,55,7,81,84,3
3243,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-BLEClientUart.h-libfuse-MDEwOlJlcG9zaXRvcnk0ODI5NjE3Nw==-flat-fuse_lowlevel.c.html,0.02277294038847957,8,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-BLEClientUart.h,libfuse-MDEwOlJlcG9zaXRvcnk0ODI5NjE3Nw==-flat-fuse_lowlevel.c,17,19,2,524,529,5
10126,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-CudaLib.h-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-scripting.c.html,0.13135186960690318,12,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-CudaLib.h,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-scripting.c,53,58,5,31,33,2
10433,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-HardwareSerial.h-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-dict.h.html,0.25225225225225223,14,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-HardwareSerial.h,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-dict.h,20,23,3,12,14,2
13051,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_sdm.h-Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_nfct.h.html,0.2336578581363004,9,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_sdm.h,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_nfct.h,88,89,1,249,262,13
16756,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-BLEClientCharacteristic.h-android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-cgeThread.h.html,0.27299703264094954,15,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-BLEClientCharacteristic.h,android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-cgeThread.h,17,21,4,109,117,8
18349,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-dftw-genericbuf.c-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-utils.c.html,0.0708955223880597,10,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-dftw-genericbuf.c,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-utils.c,97,103,6,160,164,4
23353,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-IConfigTransform.h-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-notify.c.html,0.08648648648648649,8,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-IConfigTransform.h,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-notify.c,12,12,0,44,47,3
25891,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-ble_gatts_16.h-xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-schema.h.html,0.0680725120236774,22,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-ble_gatts_16.h,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-schema.h,96,104,8,286,307,21
29887,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-s_ocb_done.c-libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-pbes2.c.html,0.08191126279863481,12,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-s_ocb_done.c,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-pbes2.c,4,16,12,59,67,8
33322,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-ble_11.h-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-picture_psnr_enc.c.html,0.1225114854517611,11,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-ble_11.h,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-picture_psnr_enc.c,17,19,2,95,99,4
39268,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-cgeHueAdjust.h-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-lparser.h.html,0.11428571428571428,8,android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-cgeHueAdjust.h,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-lparser.h,15,19,4,29,30,1
44449,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-cgeFrameRecorderWrapper.h-libpcap-MDEwOlJlcG9zaXRvcnk5NDM1ODg3-flat-usb.h.html,0.49696969696969695,16,android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-cgeFrameRecorderWrapper.h,libpcap-MDEwOlJlcG9zaXRvcnk5NDM1ODg3-flat-usb.h,8,12,4,31,37,6
47481,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-problem2.c-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-anim_encode.c.html,0.06588498045784479,8,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-problem2.c,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-anim_encode.c,21,27,6,275,280,5
51827,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-BenchState.h-fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-genus.c.html,0.11027568922305764,11,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-BenchState.h,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-genus.c,13,16,3,4,7,3
65075,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-rsa_set.c-android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-avstring.h.html,0.16580310880829016,8,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-rsa_set.c,android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-avstring.h,45,50,5,9,11,2
73479,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-sha.h-fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-ct.h.html,0.2962962962962963,12,android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-sha.h,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-ct.h,7,16,9,2,7,5
77076,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-dht-r2hc.c-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-filters_msa.c.html,0.10795454545454546,11,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-dht-r2hc.c,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-filters_msa.c,62,68,6,64,70,6
93575,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C-beta/fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-dft-vrank-geq1.c-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-hiredis.c.html,0.12473423104181432,9,fftw3-MDEwOlJlcG9zaXRvcnk4ODQzMzg4-flat-dft-vrank-geq1.c,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-hiredis.c,151,156,5,484,489,5
