ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
314,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-upsampling_mips_dsp_r2.c-libfuse-MDEwOlJlcG9zaXRvcnk0ODI5NjE3Nw==-flat-notify_store_retrieve.c.html,0.08629441624365482,9,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-upsampling_mips_dsp_r2.c,libfuse-MDEwOlJlcG9zaXRvcnk0ODI5NjE3Nw==-flat-notify_store_retrieve.c,182,192,10,155,167,12
652,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-avcodec.h-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-quant_enc.c.html,0.025930572982015895,10,android-gpuimage-plus-MDEwOlJlcG9zaXRvcnk0NjU0NzQxNw==-flat-avcodec.h,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-quant_enc.c,516,526,10,638,648,10
668,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-lossless_neon.c-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-vp8l_enc.c.html,0.07418738049713193,10,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-lossless_neon.c,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-vp8l_enc.c,55,58,3,232,235,3
1493,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-witness.h-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-pages_20.c.html,0.05732484076433121,9,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-witness.h,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-pages_20.c,117,123,6,202,210,8
2007,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_nvic_17.h-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-t_string.c.html,0.037243947858473,10,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_nvic_17.h,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-t_string.c,71,81,10,98,106,8
3231,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-extras.c-small-MDEwOlJlcG9zaXRvcnkyNTY3NjMxNjk=-flat-server.c.html,0.02451202905129369,10,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-extras.c,small-MDEwOlJlcG9zaXRvcnkyNTY3NjMxNjk=-flat-server.c,76,86,10,1729,1738,9
3813,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-ssim_sse2.c-xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-CryptoNight_x86.h.html,0.030112923462986198,15,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-ssim_sse2.c,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-CryptoNight_x86.h,9,16,7,163,170,7
4875,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-MemoryPool.h-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-lossless_enc_msa.c.html,0.14414414414414414,8,xmrig-MDEwOlJlcG9zaXRvcnk4ODMyNzQwNg==-flat-MemoryPool.h,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-lossless_enc_msa.c,11,23,12,104,110,6
8272,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-whirlgen.c-redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-arena.c.html,0.012911555842479019,10,libtomcrypt-MDEwOlJlcG9zaXRvcnk3NzcwMTE=-flat-whirlgen.c,redis-MDEwOlJlcG9zaXRvcnkxMDgxMTA3MDY=-flat-arena.c,34,40,6,162,197,35
10301,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/C/Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_nvic_17.h-PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-webp_enc.c.html,0.037037037037037035,10,Adafruit_nRF52_Arduino-MDEwOlJlcG9zaXRvcnk3NDM1NDcyOQ==-flat-nrf_nvic_17.h,PINRemoteImage-MDEwOlJlcG9zaXRvcnkzOTUzNzEwMw==-flat-webp_enc.c,92,101,9,237,243,6
