ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
1342,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-WindowsDlg.cpp-abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-time_zone_format_test.cc.html,0.11303996770286637,10,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-WindowsDlg.cpp,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-time_zone_format_test.cc,306,308,2,169,176,7
31871,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-simddetect.h-glm-MDEwOlJlcG9zaXRvcnk4NDM2MzE=-flat-image2d.hpp.html,0.24203821656050956,19,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-simddetect.h,glm-MDEwOlJlcG9zaXRvcnk4NDM2MzE=-flat-image2d.hpp,34,46,12,16,34,18
36166,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-linlsq.cpp-nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-system.cpp.html,0.09090909090909091,9,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-linlsq.cpp,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-system.cpp,107,109,2,15,17,2
46948,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-linefind.cpp-abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-time_zone_format_test.cc.html,0.08587479935794542,9,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-linefind.cpp,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-time_zone_format_test.cc,424,429,5,168,175,7
56256,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-fullyconnected.h-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-hc.h.html,0.12322274881516587,12,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-fullyconnected.h,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-hc.h,56,63,7,88,92,4
72536,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/subconverter-MDEwOlJlcG9zaXRvcnkyMTg2ODY3NjM=-flat-upload.cpp-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-NppBigSwitch.cpp.html,0.014184397163120567,11,subconverter-MDEwOlJlcG9zaXRvcnkyMTg2ODY3NjM=-flat-upload.cpp,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-NppBigSwitch.cpp,84,95,11,1938,1947,9
101721,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-charconv_parse.h-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-md5.h.html,0.13333333333333333,10,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-charconv_parse.h,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-md5.h,19,25,6,4,14,10
103189,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gtest-spi.h-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-gviz.h.html,0.17475728155339806,9,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gtest-spi.h,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-gviz.h,19,34,15,4,7,3
116296,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-batch_reindex_layer.cpp-abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-hash_12.h.html,0.021463414634146343,11,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-batch_reindex_layer.cpp,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-hash_12.h,14,20,6,413,418,5
138404,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp-beta/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-detection_evaluate_layer.hpp-nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-confirmation_height_unbounded.cpp.html,0.10097719869706841,12,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-detection_evaluate_layer.hpp,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-confirmation_height_unbounded.cpp,14,16,2,8,8,0
