ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
991,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_mkldnn_pooling_layer.cpp-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-VerticalFileSwitcherListView.cpp.html,0.06572769953051644,9,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-test_mkldnn_pooling_layer.cpp,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-VerticalFileSwitcherListView.cpp,215,219,4,207,212,5
1696,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-wixexp.cpp-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gmock-spec-builders.cc.html,0.10750279955207166,9,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-wixexp.cpp,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gmock-spec-builders.cc,120,129,9,203,209,6
11611,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-lstm_unit_layer.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-dt.cpp.html,0.031800391389432484,10,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-lstm_unit_layer.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-dt.cpp,81,82,1,1335,1337,2
12493,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/glm-MDEwOlJlcG9zaXRvcnk4NDM2MzE=-flat-core_func_integer.cpp-abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-marshalling_test.cc.html,0.21305841924398625,15,glm-MDEwOlJlcG9zaXRvcnk4NDM2MzE=-flat-core_func_integer.cpp,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-marshalling_test.cc,34,41,7,582,595,13
19186,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-svmmodels.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-dt.h.html,0.03420467185761958,9,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-svmmodels.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-dt.h,100,104,4,671,672,1
21763,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-substitute.h-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-colpartition.h.html,0.057843996494303246,14,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-substitute.h,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-colpartition.h,242,266,24,368,379,11
32377,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-atomic_hook.h-nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-service.cpp.html,0.03522504892367906,9,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-atomic_hook.h,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-service.cpp,33,46,13,12,16,4
39897,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-numpy.cpp-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-imagedata.cpp.html,0.027739251040221916,10,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-numpy.cpp,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-imagedata.cpp,2,4,2,579,581,2
44987,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-circles.h-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-lstm.cpp.html,0.14130434782608695,11,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-circles.h,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-lstm.cpp,279,284,5,126,131,5
46739,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-statusor_test.cc-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-svmmodels.cpp.html,0.011241970021413276,11,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-statusor_test.cc,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-svmmodels.cpp,1217,1226,9,27,35,8
