ID,Link,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
0,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-work.hpp-nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-buckets.hpp-0.html,15,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-work.hpp,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-buckets.hpp,40,41,1,31,32,1
1,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gtest-type-util.h-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gtest-type-util.h-1.html,34,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gtest-type-util.h,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gtest-type-util.h,2593,2595,2,2574,2576,2
2,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-valgrind.h-nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-valgrind.h-2.html,91,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-valgrind.h,nano-node-MDEwOlJlcG9zaXRvcnkxOTM0NzM0MA==-flat-valgrind.h,568,582,14,592,606,14
3,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-trainingsample.cpp-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-trainingsample.cpp-3.html,59,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-trainingsample.cpp,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-trainingsample.cpp,46,57,11,107,118,11
4,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-Parameters.cpp-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-Common.cpp-4.html,16,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-Parameters.cpp,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-Common.cpp,1602,1603,1,544,546,2
5,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-catch_14.hpp-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-catch.hpp-5.html,8445,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-catch_14.hpp,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-catch.hpp,12736,13690,954,12736,13690,954
6,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-time_test.cc-abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-time_test.cc-6.html,48,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-time_test.cc,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-time_test.cc,192,194,2,194,196,2
7,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-test-multimodal.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-test-multimodal.cpp-7.html,25,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-test-multimodal.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-test-multimodal.cpp,189,193,4,637,641,4
8,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-ShortcutMapper.cpp-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-ShortcutMapper.cpp-8.html,23,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-ShortcutMapper.cpp,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-ShortcutMapper.cpp,283,288,5,310,315,5
9,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-civil_time_test_17.cc-abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-civil_time_test_17.cc-9.html,30,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-civil_time_test_17.cc,abseil-cpp-MDEwOlJlcG9zaXRvcnkxMDQyMzE1NDE=-flat-civil_time_test_17.cc,809,811,2,806,808,2
10,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-pageres.cpp-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-colpartitionset.cpp-10.html,15,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-pageres.cpp,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-colpartitionset.cpp,42,45,3,497,500,3
11,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-colpartition.cpp-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-colpartition.cpp-11.html,23,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-colpartition.cpp,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-colpartition.cpp,2047,2050,3,1983,1986,3
12,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/subconverter-MDEwOlJlcG9zaXRvcnkyMTg2ODY3NjM=-flat-json.hpp-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-json.hpp-12.html,3095,subconverter-MDEwOlJlcG9zaXRvcnkyMTg2ODY3NjM=-flat-json.hpp,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-json.hpp,11104,11509,405,12413,12818,405
13,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-serialis.cpp-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-serialis.cpp-13.html,16,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-serialis.cpp,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-serialis.cpp,162,163,1,172,173,1
14,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-LexPascal.cxx-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-LexDataflex.cxx-14.html,14,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-LexPascal.cxx,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-LexDataflex.cxx,249,252,3,278,281,3
15,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-LexAPDL.cxx-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-LexGAP.cxx-15.html,19,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-LexAPDL.cxx,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-LexGAP.cxx,27,31,4,25,29,4
16,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-benchmark-util.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-benchmark-util.cpp-16.html,22,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-benchmark-util.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-benchmark-util.cpp,349,352,3,177,180,3
17,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-flow.cpp-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-intfeaturedist.cpp-17.html,14,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-flow.cpp,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-intfeaturedist.cpp,198,200,2,77,79,2
18,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-fl.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-zipfl.cpp-18.html,15,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-fl.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-zipfl.cpp,235,236,1,103,104,1
