ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
2851,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-StudentContext_303.cs-NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-TcpTests.cs.html,0.07,14,20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-StudentContext_303.cs,NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-TcpTests.cs,16,17,1,12,13,1
3975,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-LogicalDecodingMessage.cs-runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-ThrottlingReportHandler.cs.html,0.27184466019417475,14,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-LogicalDecodingMessage.cs,runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-ThrottlingReportHandler.cs,7,8,1,18,19,1
4119,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/Simple.Data-MDEwOlJlcG9zaXRvcnk4MTg3Njg=-flat-InsertTest.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DateRangePickerTests.cs.html,0.0958904109589041,11,Simple.Data-MDEwOlJlcG9zaXRvcnk4MTg3Njg=-flat-InsertTest.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DateRangePickerTests.cs,31,39,8,71,81,10
4437,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-OverlayTests.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudDrawer.razor.cs.html,0.2978723404255319,11,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-OverlayTests.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudDrawer.razor.cs,38,45,7,26,33,7
5951,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudTablePager.razor.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudBooleanInput.cs.html,0.2,10,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudTablePager.razor.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudBooleanInput.cs,22,23,1,13,16,3
6230,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-IPartWithText.cs-20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-IData_397.cs.html,0.6896551724137931,10,EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-IPartWithText.cs,20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-IData_397.cs,2,5,3,6,9,3
8042,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-FooterContext.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-RelationMessage.cs.html,0.16666666666666666,10,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-FooterContext.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-RelationMessage.cs,13,22,9,37,39,2
13628,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-RunnerPluginManager.cs-Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-TestAuthenticationService.cs.html,0.3925233644859813,21,runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-RunnerPluginManager.cs,Security-MDEwOlJlcG9zaXRvcnkxNzcyMzY5OQ==-flat-TestAuthenticationService.cs,121,123,2,14,16,2
13865,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-Data_398.cs-20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-RestaurantBranch.cs.html,0.24691358024691357,10,20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-Data_398.cs,20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-RestaurantBranch.cs,1,9,8,1,13,12
14987,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-JobApplication_103.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-PaletteDark.cs.html,0.07220216606498195,10,20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-JobApplication_103.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-PaletteDark.cs,1,10,9,1,6,5
15176,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DrawerTest.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-CopyTests.cs.html,0.30186170212765956,10,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-DrawerTest.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-CopyTests.cs,89,94,5,624,631,7
15649,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudDataGrid.razor.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudPicker.razor.cs.html,0.2876949740034662,11,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudDataGrid.razor.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-MudPicker.razor.cs,59,67,8,44,53,9
16683,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-ZooContext_208.cs-NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-UdsTests.cs.html,0.06965174129353234,14,20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-ZooContext_208.cs,NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-UdsTests.cs,14,15,1,12,13,1
17744,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-GoEaseExponential.cs-Simple.Data-MDEwOlJlcG9zaXRvcnk4MTg3Njg=-flat-SimpleResultSet.cs.html,0.072992700729927,10,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-GoEaseExponential.cs,Simple.Data-MDEwOlJlcG9zaXRvcnk4MTg3Njg=-flat-SimpleResultSet.cs,5,13,8,54,62,8
18794,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-Startup_73.cs-20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-Startup_4.cs.html,1.0,12,20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-Startup_73.cs,20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-Startup_4.cs,1,25,24,1,23,22
19799,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-Ref.cs-20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-MenuCategory.cs.html,0.8076923076923077,21,EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-Ref.cs,20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-MenuCategory.cs,1,8,7,1,11,10
22189,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-AgentLabel.cs-20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-Photo_47.cs.html,0.3770491803278688,23,runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-AgentLabel.cs,20486D-DevelopingASPNETMVCWebApplications-MDEwOlJlcG9zaXRvcnkxMTkzNTI2Mzc=-flat-Photo_47.cs,29,44,15,14,18,4
22237,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Csharp/MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-SvgCircle.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-Program_1.cs.html,0.2132701421800948,16,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-SvgCircle.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-Program_1.cs,9,12,3,333,336,3
