ID,Link,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
0,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TransactionTests.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TransactionTests.cs-0.html,21,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TransactionTests.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TransactionTests.cs,324,325,1,540,541,1
1,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-ProcessInvokerL0.cs-runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-ProcessInvokerL0.cs-1.html,32,runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-ProcessInvokerL0.cs,runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-ProcessInvokerL0.cs,278,279,1,280,281,1
2,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TextHandler.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TextHandler.cs-2.html,30,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TextHandler.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TextHandler.cs,188,192,4,197,201,4
3,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-GoSplineCubicBezierSolver_69.cs-dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-GoSplineCatmullRomSolver_66.cs-3.html,14,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-GoSplineCubicBezierSolver_69.cs,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-GoSplineCatmullRomSolver_66.cs,8,13,5,8,13,5
4,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlCommand.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlCommand.cs-4.html,17,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlCommand.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlCommand.cs,654,656,2,694,696,2
5,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/Simple.Data-MDEwOlJlcG9zaXRvcnk4MTg3Njg=-flat-AdoAdapterQueryRunner.cs-Simple.Data-MDEwOlJlcG9zaXRvcnk4MTg3Njg=-flat-AdoAdapterQueryRunner.cs-5.html,18,Simple.Data-MDEwOlJlcG9zaXRvcnk4MTg3Njg=-flat-AdoAdapterQueryRunner.cs,Simple.Data-MDEwOlJlcG9zaXRvcnk4MTg3Njg=-flat-AdoAdapterQueryRunner.cs,109,112,3,180,183,3
6,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-TemplateMemory.cs-runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-StepsContext.cs-6.html,14,runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-TemplateMemory.cs,runner-MDEwOlJlcG9zaXRvcnkxODQyODY4NzU=-flat-StepsContext.cs,203,206,3,71,74,3
7,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-com.chronoxor.fbe.cs-NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-com.chronoxor.fbe.cs-7.html,410,NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-com.chronoxor.fbe.cs,NetCoreServer-MDEwOlJlcG9zaXRvcnkxNjYxMjMxNjQ=-flat-com.chronoxor.fbe.cs,1132,1199,67,1243,1310,67
8,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-CustomRangePlugin_126.cs-dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-IntPlugin.cs-8.html,14,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-CustomRangePlugin_126.cs,dotween-MDEwOlJlcG9zaXRvcnkzMjQ3NTE2Mg==-flat-IntPlugin.cs,16,17,1,17,18,1
9,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlTypes.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlTypes.cs-9.html,111,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlTypes.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-NpgsqlTypes.cs,155,168,13,225,238,13
10,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-IntervalHandler.cs-npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TimeTzHandler.cs-10.html,15,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-IntervalHandler.cs,npgsql-MDEwOlJlcG9zaXRvcnkyODgzNTc0-flat-TimeTzHandler.cs,73,74,1,26,27,1
11,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/csharp/EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-AudioPolicyConfigFactory.cs-MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-Theme.cs-11.html,12,EarTrumpet-MDEwOlJlcG9zaXRvcnkzODkxOTcwMg==-flat-AudioPolicyConfigFactory.cs,MudBlazor-MDEwOlJlcG9zaXRvcnkyODg0Mjg2NzY=-flat-Theme.cs,5,10,5,7,12,5
