ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
127,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/BungeeCord-MDEwOlJlcG9zaXRvcnk2MDg0MjEw-flat-ColouredWriter.java-Essentials-MDEwOlJlcG9zaXRvcnkxNzczNzU0-flat-Commandbalancetop.java.html,0.046948356807511735,10,BungeeCord-MDEwOlJlcG9zaXRvcnk2MDg0MjEw-flat-ColouredWriter.java,Essentials-MDEwOlJlcG9zaXRvcnkxNzczNzU0-flat-Commandbalancetop.java,1,10,9,1,10,9
1363,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-MockServer.java-motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-DefaultHttpMeshTransport.java.html,0.0966183574879227,10,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-MockServer.java,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-DefaultHttpMeshTransport.java,2,11,9,15,24,9
4166,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/segmentfault-lessons-MDEwOlJlcG9zaXRvcnk5MzE1NzM4MQ==-flat-JavaClassMemberDemo.java-ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-MethodTemplateExecutorTest.java.html,0.10897435897435898,17,segmentfault-lessons-MDEwOlJlcG9zaXRvcnk5MzE1NzM4MQ==-flat-JavaClassMemberDemo.java,ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-MethodTemplateExecutorTest.java,15,18,3,101,106,5
7501,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/Essentials-MDEwOlJlcG9zaXRvcnkxNzczNzU0-flat-Commandworld.java-Essentials-MDEwOlJlcG9zaXRvcnkxNzczNzU0-flat-Commandexp.java.html,0.1016949152542373,18,Essentials-MDEwOlJlcG9zaXRvcnkxNzczNzU0-flat-Commandworld.java,Essentials-MDEwOlJlcG9zaXRvcnkxNzczNzU0-flat-Commandexp.java,2,17,15,3,18,15
8317,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-MethodTemplateExecutor.java-ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-HttpRequestTemplate.java.html,0.1111111111111111,10,ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-MethodTemplateExecutor.java,ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-HttpRequestTemplate.java,32,38,6,35,41,6
8862,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-LocalRegistryService.java-BungeeCord-MDEwOlJlcG9zaXRvcnk2MDg0MjEw-flat-DefinedPacket.java.html,0.09009009009009009,10,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-LocalRegistryService.java,BungeeCord-MDEwOlJlcG9zaXRvcnk2MDg0MjEw-flat-DefinedPacket.java,121,127,6,191,199,8
9774,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-AbstractRefererHandler.java-motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-MotanBeanDefinitionParser.java.html,0.08442503639010189,19,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-AbstractRefererHandler.java,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-MotanBeanDefinitionParser.java,1,19,18,1,19,18
9814,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-YarMessageRouter.java-motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-ConsulRegistry.java.html,0.08098591549295775,10,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-YarMessageRouter.java,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-ConsulRegistry.java,40,45,5,71,77,6
10353,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-XPendingParams.java-ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-ResponseTimeWeightedRule.java.html,0.057803468208092484,10,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-XPendingParams.java,ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-ResponseTimeWeightedRule.java,2,11,9,7,16,9
11193,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/Mybatis-PageHelper-MDEwOlJlcG9zaXRvcnkyMDY1MTY3Mg==-flat-FunctionCountTest.java-ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-MovieService.java.html,0.11764705882352941,12,Mybatis-PageHelper-MDEwOlJlcG9zaXRvcnkyMDY1MTY3Mg==-flat-FunctionCountTest.java,ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-MovieService.java,1,12,11,1,12,11
12733,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-RibbonModule.java-BungeeCord-MDEwOlJlcG9zaXRvcnk2MDg0MjEw-flat-Respawn.java.html,0.12987012987012986,10,ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-RibbonModule.java,BungeeCord-MDEwOlJlcG9zaXRvcnk2MDg0MjEw-flat-Respawn.java,1,10,9,1,10,9
15992,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/Mybatis-PageHelper-MDEwOlJlcG9zaXRvcnkyMDY1MTY3Mg==-flat-MySqlDialect.java-motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-YarProtocolUtil.java.html,0.12921348314606743,13,Mybatis-PageHelper-MDEwOlJlcG9zaXRvcnkyMDY1MTY3Mg==-flat-MySqlDialect.java,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-YarProtocolUtil.java,2,14,12,4,16,12
16011,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-UtilsTest.java-jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-SetCommandsTestBase.java.html,0.07048458149779736,12,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-UtilsTest.java,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-SetCommandsTestBase.java,26,33,7,345,355,10
17834,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/Mybatis-PageHelper-MDEwOlJlcG9zaXRvcnkyMDY1MTY3Mg==-flat-IPageTest.java-motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-ConsulCommandService.java.html,0.1134020618556701,11,Mybatis-PageHelper-MDEwOlJlcG9zaXRvcnkyMDY1MTY3Mg==-flat-IPageTest.java,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-ConsulCommandService.java,1,11,10,1,11,10
21189,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-MethodTemplateTest.java-BungeeCord-MDEwOlJlcG9zaXRvcnk2MDg0MjEw-flat-Protocol.java.html,0.06321839080459771,11,ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-MethodTemplateTest.java,BungeeCord-MDEwOlJlcG9zaXRvcnk2MDg0MjEw-flat-Protocol.java,1,11,10,1,11,10
21912,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/segmentfault-lessons-MDEwOlJlcG9zaXRvcnk5MzE1NzM4MQ==-flat-AbstractQueuedSynchronizerDemo.java-google-api-java-client-samples-MDEwOlJlcG9zaXRvcnkyOTc0OTA1Mg==-flat-GenerateReport.java.html,0.2,13,segmentfault-lessons-MDEwOlJlcG9zaXRvcnk5MzE1NzM4MQ==-flat-AbstractQueuedSynchronizerDemo.java,google-api-java-client-samples-MDEwOlJlcG9zaXRvcnkyOTc0OTA1Mg==-flat-GenerateReport.java,1,12,11,1,12,11
