ID,Link,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
0,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-NettyDecoder.java-motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-NettyDecoder_12.java-0.html,43,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-NettyDecoder.java,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-NettyDecoder_12.java,94,99,5,108,113,5
1,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-UserProto.java-motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-RouteGuideProto.java-1.html,84,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-UserProto.java,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-RouteGuideProto.java,1593,1607,14,74,88,14
2,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-SearchWithParamsTest.java-jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-SearchWithParamsTest.java-2.html,33,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-SearchWithParamsTest.java,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-SearchWithParamsTest.java,214,217,3,227,230,3
3,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-StreamsCommandsTest.java-jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-StreamsCommandsTest.java-3.html,18,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-StreamsCommandsTest.java,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-StreamsCommandsTest.java,625,626,1,623,624,1
4,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-CommandObjects.java-jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-CommandObjects.java-4.html,20,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-CommandObjects.java,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-CommandObjects.java,2128,2129,1,2086,2087,1
5,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-FailbackRegistry.java-motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-FailbackRegistry.java-5.html,25,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-FailbackRegistry.java,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-FailbackRegistry.java,80,84,4,96,100,4
6,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-NettyHttpRequestHandler.java-motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-NettyHttpRequestHandler_3.java-6.html,37,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-NettyHttpRequestHandler.java,motan-MDEwOlJlcG9zaXRvcnk1NjY3OTUyMQ==-flat-NettyHttpRequestHandler_3.java,46,51,5,20,25,5
7,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-SecureGetTest.java-ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-SecureGetTest.java-7.html,18,ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-SecureGetTest.java,ribbon-MDEwOlJlcG9zaXRvcnk3NjE2MTU4-flat-SecureGetTest.java,131,135,4,154,173,19
8,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-BuilderFactory.java-jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-BuilderFactory.java-8.html,35,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-BuilderFactory.java,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-BuilderFactory.java,344,347,3,605,608,3
9,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Java/jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-JedisClusterTest.java-jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-JedisClusterTest.java-9.html,16,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-JedisClusterTest.java,jedis-MDEwOlJlcG9zaXRvcnk3MTU2MDU=-flat-JedisClusterTest.java,182,185,3,188,191,3
