ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
169,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-vocab_test.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-recurrent_test.py.html,0.11077191452245966,13,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-vocab_test.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-recurrent_test.py,36,40,4,355,357,2
189,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-momentum.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-recurrent.py.html,0.034957627118644065,10,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-momentum.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-recurrent.py,46,49,3,447,450,3
221,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-logger.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-fields_12.py.html,0.036193029490616625,9,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-logger.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-fields_12.py,56,59,3,47,49,2
269,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-make_grid.py-yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-coco.py.html,0.10443864229765012,12,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-make_grid.py,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-coco.py,67,69,2,77,79,2
296,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-depthwise_conv_test.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-__init___48.py.html,0.03384841795437822,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-depthwise_conv_test.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-__init___48.py,159,160,1,526,529,3
799,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-mem_definition_31.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-test_espefuse.py.html,0.012903225806451613,12,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-mem_definition_31.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-test_espefuse.py,83,85,2,8,10,2
1284,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-util_test.py-yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-multibox_loss.py.html,0.1290704558910598,9,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-util_test.py,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-multibox_loss.py,15,19,4,149,150,1
1428,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-utils.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-specialtools.py.html,0.028391167192429023,9,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-utils.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-specialtools.py,8,10,2,180,183,3
1468,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-test_json_model.py-yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-backbone.py.html,0.10485736314572089,11,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-test_json_model.py,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-backbone.py,93,100,7,47,49,2
1544,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-forcesubscribe.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-callbackstuffs.py.html,0.05735354362965998,9,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-forcesubscribe.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-callbackstuffs.py,26,29,3,1131,1134,3
