ID,Link,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
0,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/practical-python-MDEwOlJlcG9zaXRvcnkyNjY2MTM3MDQ=-flat-pcost_5.py-practical-python-MDEwOlJlcG9zaXRvcnkyNjY2MTM3MDQ=-flat-follow_90.py.html,18,practical-python-MDEwOlJlcG9zaXRvcnkyNjY2MTM3MDQ=-flat-pcost_5.py,practical-python-MDEwOlJlcG9zaXRvcnkyNjY2MTM3MDQ=-flat-follow_90.py,9,11,2,18,20,2
1,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-devtools.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-bot.py.html,24,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-devtools.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-bot.py,75,82,7,198,203,5
2,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-button.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-greetings.py.html,14,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-button.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-greetings.py,19,21,2,38,40,2
3,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-esp_rfc2217_server.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-esp_rfc2217_server.py.html,19,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-esp_rfc2217_server.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-esp_rfc2217_server.py,132,138,6,140,146,6
4,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-depthwise_conv_test.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-conv_test.py.html,105,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-depthwise_conv_test.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-conv_test.py,57,66,9,106,117,11
5,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-__init__.py-esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-__init__.py.html,13,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-__init__.py,esptool-MDEwOlJlcG9zaXRvcnkyMzczNjkxNA==-flat-__init__.py,500,501,1,725,726,1
6,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py-yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py.html,14,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py,79,82,3,187,190,3
7,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-tools.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-tools.py.html,14,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-tools.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-tools.py,681,684,3,663,666,3
8,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-pad_test.py-sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-pad_test.py.html,32,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-pad_test.py,sonnet-MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==-flat-pad_test.py,30,31,1,24,25,1
9,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-rnn_encoder_test.py-seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-rnn_encoder_test.py.html,22,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-rnn_encoder_test.py,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-rnn_encoder_test.py,127,129,2,129,131,2
10,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-core_reporting_v3_reference.py-cookiecutter-pypackage-MDEwOlJlcG9zaXRvcnkxMTQwNzU2Nw==-flat-setup_0.py.html,12,google-api-python-client-MDEwOlJlcG9zaXRvcnkxNTc0OTI2OQ==-flat-core_reporting_v3_reference.py,cookiecutter-pypackage-MDEwOlJlcG9zaXRvcnkxMTQwNzU2Nw==-flat-setup_0.py,50,53,3,50,53,3
11,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-giftools.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-giftools.py.html,38,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-giftools.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-giftools.py,12,16,4,70,74,4
12,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-_inline.py-Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-pmpermit.py.html,16,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-_inline.py,Ultroid-MDEwOlJlcG9zaXRvcnkzNDEwMzg2MDI=-flat-pmpermit.py,337,342,5,716,721,5
13,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py-yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py.html,14,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py,yolact-MDEwOlJlcG9zaXRvcnkxMzg3OTY2OTk=-flat-dcn_v2.py,219,220,1,220,221,1
14,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Python/seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-train_utils_test.py-seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-train_utils_test.py.html,16,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-train_utils_test.py,seq2seq-MDEwOlJlcG9zaXRvcnk4MzczMjgwNg==-flat-train_utils_test.py,105,108,3,122,125,3
